번호,파일명,지방산림청,고시번호,유형,고시날짜,유전자원보호구역_여부,소재지,지번,임반,지목,소유자,지적,지정면적,해제면적,잔여면적,지정유형,해제사유,명칭,비고
0592,0592_서부지방산림청고시제2011-18호(산림유전자원보호구역 지정 및 지형도면).pdf,서부지방산림청,2011-18,지정,2011-12-26,TRUE,전라남도 신안군 흑산면 가거도리,산5-2,,임야,국(산림청),"22,116","22,116",,,산림유전자원보호구역,,,
0592,0592_서부지방산림청고시제2011-18호(산림유전자원보호구역 지정 및 지형도면).pdf,서부지방산림청,2011-18,지정,2011-12-26,TRUE,전라남도 신안군 흑산면 가거도리,산7-2,,임야,국(산림청),496,496,,,산림유전자원보호구역,,,
0592,0592_서부지방산림청고시제2011-18호(산림유전자원보호구역 지정 및 지형도면).pdf,서부지방산림청,2011-18,지정,2011-12-26,TRUE,전라남도 신안군 흑산면 가거도리,산8-2,,임야,국(산림청),"1,884","1,884",,,산림유전자원보호구역,,,
0592,0592_서부지방산림청고시제2011-18호(산림유전자원보호구역 지정 및 지형도면).pdf,서부지방산림청,2011-18,지정,2011-12-26,TRUE,전라남도 신안군 흑산면 가거도리,산50,,임야,국(산림청),"36,000","36,000",,,산림유전자원보호구역,,,
0592,0592_서부지방산림청고시제2011-18호(산림유전자원보호구역 지정 및 지형도면).pdf,서부지방산림청,2011-18,지정,2011-12-26,TRUE,전라남도 신안군 흑산면 가거도리,산51,,임야,국(산림청),"73,190","73,190",,,산림유전자원보호구역,,,
0592,0592_서부지방산림청고시제2011-18호(산림유전자원보호구역 지정 및 지형도면).pdf,서부지방산림청,2011-18,지정,2011-12-26,TRUE,전라남도 신안군 흑산면 가거도리,산64,,임야,국(산림청),"21,818","21,818",,,산림유전자원보호구역,,,
0592,0592_서부지방산림청고시제2011-18호(산림유전자원보호구역 지정 및 지형도면).pdf,서부지방산림청,2011-18,지정,2011-12-26,TRUE,전라남도 신안군 흑산면 가거도리,산68,,임야,국(산림청),"14,083","14,083",,,산림유전자원보호구역,,,
0592,0592_서부지방산림청고시제2011-18호(산림유전자원보호구역 지정 및 지형도면).pdf,서부지방산림청,2011-18,지정,2011-12-26,TRUE,,,,임야,국(산림청),,,,,산림유전자원보호구역,,,
0592,0592_서부지방산림청고시제2011-18호(산림유전자원보호구역 지정 및 지형도면).pdf,서부지방산림청,2011-18,지정,2011-12-26,TRUE,,,,임야,국(산림청),,,,,산림유전자원보호구역,,,
0592,0592_서부지방산림청고시제2011-18호(산림유전자원보호구역 지정 및 지형도면).pdf,서부지방산림청,2011-18,지정,2011-12-26,TRUE,,,,임야,국(산림청),,,,,산림유전자원보호구역,,,
0592,0592_서부지방산림청고시제2011-18호(산림유전자원보호구역 지정 및 지형도면).pdf,서부지방산림청,2011-18,지정,2011-12-26,TRUE,,,,임야,국(산림청),,,,,산림유전자원보호구역,,,
0592,0592_서부지방산림청고시제2011-18호(산림유전자원보호구역 지정 및 지형도면).pdf,서부지방산림청,2011-18,지정,2011-12-26,TRUE,,,,임야,국(산림청),,,,,산림유전자원보호구역,,,
0592,0592_서부지방산림청고시제2011-18호(산림유전자원보호구역 지정 및 지형도면).pdf,서부지방산림청,2011-18,지정,2011-12-26,TRUE,,,,임야,국(산림청),,,,,산림유전자원보호구역,,,
0592,0592_서부지방산림청고시제2011-18호(산림유전자원보호구역 지정 및 지형도면).pdf,서부지방산림청,2011-18,지정,2011-12-26,TRUE,,,,임야,국(산림청),,,,,산림유전자원보호구역,,,
0592,0592_서부지방산림청고시제2011-18호(산림유전자원보호구역 지정 및 지형도면).pdf,서부지방산림청,2011-18,지정,2011-12-26,TRUE,,,,임야,국(산림청),,,,,산림유전자원보호구역,,,
